,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
Ridge Regression,6123.491320361087,156.4475357214528,6046.075579208728,0.013638367461182188,5455.9923651805575,7007.487166853652,-0.027602162295326194,9.0
Lasso Regression,6127.572094753467,158.30494326982702,6046.159738545496,0.013660140355649109,5458.3371660323855,7009.857282267577,-0.028297403698463786,9.0
Linear Regression,6128.293139318232,159.96224418324604,6046.259693075452,0.013667749861291378,5460.037017077261,7011.961006954896,-0.028914699929632803,9.0
Random Forest,6445.614501820326,211.90754084501094,2349.356423464287,0.8480627857775285,5714.985520331291,7306.75750077757,-0.11724848751031991,9.0
Gradient Boosting,6453.22906290664,231.55949764428817,4540.385480292607,0.4896272478421678,5878.487380790431,7327.265863139747,-0.12352900043552939,9.0
CatBoost,6559.625801563432,191.57044323473923,2085.219560905525,0.8854634971364669,6178.074848029777,7816.543363528607,-0.278585780922717,9.0
LightGBM,6860.934440943568,292.23923904643846,2036.45892473664,0.8460808940144126,6188.972975529329,8047.461454116847,-0.3552461980647401,9.0
Decision Tree,7631.352472338345,192.60950511360969,3448.7868224203057,0.5994117645772064,6581.863597316174,8096.063406563337,-0.37166541610996995,9.0
XGBoost,7072.7318675012775,342.60523253364926,214.2354767171862,0.9984661459859311,6511.7910253694645,8251.040067274984,-0.42468148205535483,9.0
