,cv_mae_mean,cv_mae_std,test_mae,test_rmse,test_r2,cv_scores
Linear Regression,1932.6907569116315,110.3109709194684,2052.6780405993522,2555.066409410038,-0.020986913766755766,"[-1813.886721418803, -2028.549217617141, -1803.7588161858228, -2077.1221164191306, -1940.1369129172595]"
Random Forest,1984.4414590439894,94.12408418918712,2076.997480582939,2603.0498169789707,-0.05969467031056652,"[-1850.8465920431504, -2075.065187233975, -1927.518969617147, -2105.1234455965255, -1963.6531007291494]"
Gradient Boosting,1982.0153091308966,101.50395588049918,2086.284749265046,2654.3234289994325,-0.10185252613556584,"[-1848.3059795789165, -2097.345971606285, -1909.3921688422524, -2101.4118615468665, -1953.620564080163]"
CatBoost,2046.8420155578383,101.28265246758676,2181.2680897699915,2753.4856730181123,-0.1857180548630506,"[-1902.3902907534393, -2162.1339805748553, -2016.782802947229, -2161.52600101834, -1991.3770024953276]"
LightGBM,2132.444077811907,99.39070051388147,2197.9867432718397,2785.441117769257,-0.21339934211615397,"[-1991.8492571817492, -2260.539299203745, -2078.6640769373744, -2229.3352944099497, -2101.832461326713]"
XGBoost,2177.541457632766,75.7563925269431,2280.176097393819,2797.845696041174,-0.22423082038372932,"[-2081.084899857643, -2303.436006519858, -2141.2313593534172, -2214.142356313753, -2147.812666119159]"
Decision Tree,2666.6359178426956,121.70127608381175,2708.667563815563,3415.4720875203716,-0.824388271647182,"[-2531.601362693998, -2883.387996071555, -2685.324526040921, -2574.898235160176, -2657.967469246829]"
